portname,state,portcode,border,measure,value,location
Fort Kent,Maine,110,US-Canada Border,Buses,1,POINT (-68.58458 47.26878)
Porthill,Idaho,3308,US-Canada Border,Trucks,310,POINT (-116.49828 48.99282)
Wildhorse,Montana,3323,US-Canada Border,Personal Vehicle Passengers,1235,POINT (-109.67761 48.54863)
Dunseith,North Dakota,3422,US-Canada Border,Trucks,2057,POINT (-100.05863 48.81369)
Rio Grande City,Texas,2307,US-Mexico Border,Truck Containers Empty,814,POINT (-98.82 26.37944)
Walhalla,North Dakota,3407,US-Canada Border,Truck Containers Full,173,POINT (-97.91778 48.92333)
Boundary,Washington,3015,US-Canada Border,Truck Containers Empty,19,POINT (-117.89655000000002 48.54648)
Sumas,Washington,3009,US-Canada Border,Personal Vehicle Passengers,128892,POINT (-122.26361 49.00028)
Sarles,North Dakota,3409,US-Canada Border,Truck Containers Empty,21,POINT (-98.99457 48.941050000000004)
Fortuna,North Dakota,3417,US-Canada Border,Personal Vehicle Passengers,1504,POINT (-103.77906 48.91086)
Bridgewater,Maine,127,US-Canada Border,Personal Vehicles,3302,POINT (-67.84262 46.41923)
Ambrose,North Dakota,3410,US-Canada Border,Personal Vehicles,78,POINT (-103.48222 48.95389)
Buffalo-Niagara Falls,New York,901,US-Canada Border,Trucks,77292,POINT (-79.05694 43.09444)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Train Passengers,62,POINT (-84.29889 46.47028)
Eastport,Idaho,3302,US-Canada Border,Train Passengers,200,POINT (-116.18027999999998 48.99944)
Douglas,Arizona,2601,US-Mexico Border,Personal Vehicles,144173,POINT (-109.54472 31.344439999999995)
Vanceboro,Maine,105,US-Canada Border,Truck Containers Empty,12,POINT (-67.42955 45.55984)
Trout River,New York,715,US-Canada Border,Personal Vehicles,8961,POINT (-73.44253 44.990010000000005)
Buffalo-Niagara Falls,New York,901,US-Canada Border,Personal Vehicle Passengers,754845,POINT (-79.05694 43.09444)
Grand Portage,Minnesota,3613,US-Canada Border,Truck Containers Empty,302,POINT (-89.68472000000001 47.96389)
Alexandria Bay,New York,708,US-Canada Border,Personal Vehicles,37199,POINT (-75.91806 44.33583)
Eagle Pass,Texas,2303,US-Mexico Border,Trains,282,POINT (-100.49917 28.70889)
Portal,North Dakota,3403,US-Canada Border,Personal Vehicles,4191,POINT (-102.54917 48.99583)
Sumas,Washington,3009,US-Canada Border,Truck Containers Full,10943,POINT (-122.26361 49.00028)
Carbury,North Dakota,3421,US-Canada Border,Personal Vehicle Passengers,2231,POINT (-100.68648 48.90957)
Boundary,Washington,3015,US-Canada Border,Trucks,20,POINT (-117.89655000000002 48.54648)
Massena,New York,704,US-Canada Border,Personal Vehicles,69627,POINT (-74.74 44.98944)
Carbury,North Dakota,3421,US-Canada Border,Truck Containers Empty,100,POINT (-100.68648 48.90957)
Jackman,Maine,104,US-Canada Border,Personal Vehicle Passengers,12881,POINT (-70.255 45.62389)
Sweetgrass,Montana,3310,US-Canada Border,Trains,32,POINT (-111.95972 48.99611000000001)
Trout River,New York,715,US-Canada Border,Truck Containers Full,437,POINT (-73.44253 44.990010000000005)
Calais,Maine,115,US-Canada Border,Rail Containers Full,18,POINT (-67.27917 45.18889)
Piegan,Montana,3316,US-Canada Border,Personal Vehicle Passengers,8140,POINT (-113.43406 48.85152)
Northgate,North Dakota,3406,US-Canada Border,Truck Containers Empty,534,POINT (-102.39634 48.89848)
Sumas,Washington,3009,US-Canada Border,Trucks,13179,POINT (-122.26361 49.00028)
